07/22/2026 06:47:35 - INFO - src.utils -   Loading backbone [qwen3_vl]
`torch_dtype` is deprecated! Use `dtype` instead!
07/22/2026 06:47:40 - INFO - src.utils -   Loading processor
The tokenizer you are loading from 'pruned_models/qwen3vl-2b-20layer' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
The tokenizer you are loading from 'pruned_models/qwen3vl-2b-20layer' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
Loaded 1000 eval rows
You're using a Qwen2TokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
[10/1000] running P@1=0.1000 (1/10)
[20/1000] running P@1=0.1000 (2/20)
[30/1000] running P@1=0.1000 (3/30)
[40/1000] running P@1=0.1000 (4/40)
[50/1000] running P@1=0.1000 (5/50)
[60/1000] running P@1=0.1000 (6/60)
[70/1000] running P@1=0.1000 (7/70)
[80/1000] running P@1=0.0875 (7/80)
[90/1000] running P@1=0.0778 (7/90)
[100/1000] running P@1=0.0700 (7/100)
[110/1000] running P@1=0.0727 (8/110)
[120/1000] running P@1=0.0750 (9/120)
[130/1000] running P@1=0.0846 (11/130)
[140/1000] running P@1=0.0786 (11/140)
[150/1000] running P@1=0.0867 (13/150)
[160/1000] running P@1=0.0875 (14/160)
[170/1000] running P@1=0.0824 (14/170)
[180/1000] running P@1=0.0778 (14/180)
[190/1000] running P@1=0.0737 (14/190)
[200/1000] running P@1=0.0800 (16/200)
[210/1000] running P@1=0.0857 (18/210)
[220/1000] running P@1=0.0864 (19/220)
[230/1000] running P@1=0.0826 (19/230)
[240/1000] running P@1=0.0792 (19/240)
[250/1000] running P@1=0.0760 (19/250)
[260/1000] running P@1=0.0769 (20/260)
[270/1000] running P@1=0.0778 (21/270)
[280/1000] running P@1=0.0857 (24/280)
[290/1000] running P@1=0.0828 (24/290)
[300/1000] running P@1=0.0867 (26/300)
[310/1000] running P@1=0.0871 (27/310)
[320/1000] running P@1=0.0844 (27/320)
[330/1000] running P@1=0.0818 (27/330)
[340/1000] running P@1=0.0794 (27/340)
[350/1000] running P@1=0.0771 (27/350)
[360/1000] running P@1=0.0778 (28/360)
[370/1000] running P@1=0.0838 (31/370)
[380/1000] running P@1=0.0816 (31/380)
[390/1000] running P@1=0.0795 (31/390)
[400/1000] running P@1=0.0775 (31/400)
[410/1000] running P@1=0.0780 (32/410)
[420/1000] running P@1=0.0786 (33/420)
[430/1000] running P@1=0.0791 (34/430)
[440/1000] running P@1=0.0818 (36/440)
[450/1000] running P@1=0.0844 (38/450)
[460/1000] running P@1=0.0826 (38/460)
[470/1000] running P@1=0.0809 (38/470)
[480/1000] running P@1=0.0833 (40/480)
[490/1000] running P@1=0.0816 (40/490)
[500/1000] running P@1=0.0800 (40/500)
[510/1000] running P@1=0.0784 (40/510)
[520/1000] running P@1=0.0769 (40/520)
[530/1000] running P@1=0.0755 (40/530)
[540/1000] running P@1=0.0759 (41/540)
[550/1000] running P@1=0.0782 (43/550)
[560/1000] running P@1=0.0768 (43/560)
[570/1000] running P@1=0.0754 (43/570)
[580/1000] running P@1=0.0741 (43/580)
[590/1000] running P@1=0.0746 (44/590)
[600/1000] running P@1=0.0750 (45/600)
[610/1000] running P@1=0.0738 (45/610)
[620/1000] running P@1=0.0742 (46/620)
[630/1000] running P@1=0.0730 (46/630)
[640/1000] running P@1=0.0719 (46/640)
[650/1000] running P@1=0.0708 (46/650)
[660/1000] running P@1=0.0697 (46/660)
[670/1000] running P@1=0.0701 (47/670)
[680/1000] running P@1=0.0706 (48/680)
[690/1000] running P@1=0.0696 (48/690)
[700/1000] running P@1=0.0729 (51/700)
[710/1000] running P@1=0.0746 (53/710)
[720/1000] running P@1=0.0764 (55/720)
[730/1000] running P@1=0.0767 (56/730)
[740/1000] running P@1=0.0757 (56/740)
[750/1000] running P@1=0.0747 (56/750)
[760/1000] running P@1=0.0737 (56/760)
[770/1000] running P@1=0.0753 (58/770)
[780/1000] running P@1=0.0744 (58/780)
[790/1000] running P@1=0.0734 (58/790)
[800/1000] running P@1=0.0725 (58/800)
[810/1000] running P@1=0.0716 (58/810)
[820/1000] running P@1=0.0720 (59/820)
[830/1000] running P@1=0.0723 (60/830)
[840/1000] running P@1=0.0726 (61/840)
[850/1000] running P@1=0.0741 (63/850)
[860/1000] running P@1=0.0744 (64/860)
[870/1000] running P@1=0.0736 (64/870)
[880/1000] running P@1=0.0750 (66/880)
[890/1000] running P@1=0.0742 (66/890)
[900/1000] running P@1=0.0744 (67/900)
[910/1000] running P@1=0.0758 (69/910)
[920/1000] running P@1=0.0750 (69/920)
[930/1000] running P@1=0.0742 (69/930)
[940/1000] running P@1=0.0734 (69/940)
[950/1000] running P@1=0.0737 (70/950)
[960/1000] running P@1=0.0729 (70/960)
[970/1000] running P@1=0.0722 (70/970)
[980/1000] running P@1=0.0735 (72/980)
[990/1000] running P@1=0.0727 (72/990)
[1000/1000] running P@1=0.0730 (73/1000)

Final P@1 over 1000 queries, avg candidate pool size=894.0 (chance=0.0011): 0.0730 (73/1000)
