07/21/2026 21:08:04 - INFO - src.utils -   Loading backbone [qwen3_vl]
`torch_dtype` is deprecated! Use `dtype` instead!
07/21/2026 21:08:14 - INFO - src.utils -   Loading processor
The tokenizer you are loading from 'pruned_models/qwen3vl-2b-21layer' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
The tokenizer you are loading from 'pruned_models/qwen3vl-2b-21layer' with an incorrect regex pattern: https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/discussions/84#69121093e8b480e709447d5e. This will lead to incorrect tokenization. You should set the `fix_mistral_regex=True` flag when loading this tokenizer to fix this issue.
Loaded 1000 eval rows
You're using a Qwen2TokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
[10/1000] running P@1=0.3000 (3/10)
[20/1000] running P@1=0.1500 (3/20)
[30/1000] running P@1=0.1667 (5/30)
[40/1000] running P@1=0.2000 (8/40)
[50/1000] running P@1=0.1600 (8/50)
[60/1000] running P@1=0.1500 (9/60)
[70/1000] running P@1=0.1429 (10/70)
[80/1000] running P@1=0.1375 (11/80)
[90/1000] running P@1=0.1222 (11/90)
[100/1000] running P@1=0.1200 (12/100)
[110/1000] running P@1=0.1182 (13/110)
[120/1000] running P@1=0.1333 (16/120)
[130/1000] running P@1=0.1462 (19/130)
[140/1000] running P@1=0.1429 (20/140)
[150/1000] running P@1=0.1533 (23/150)
[160/1000] running P@1=0.1500 (24/160)
[170/1000] running P@1=0.1412 (24/170)
[180/1000] running P@1=0.1333 (24/180)
[190/1000] running P@1=0.1368 (26/190)
[200/1000] running P@1=0.1400 (28/200)
[210/1000] running P@1=0.1429 (30/210)
[220/1000] running P@1=0.1409 (31/220)
[230/1000] running P@1=0.1391 (32/230)
[240/1000] running P@1=0.1417 (34/240)
[250/1000] running P@1=0.1400 (35/250)
[260/1000] running P@1=0.1346 (35/260)
[270/1000] running P@1=0.1407 (38/270)
[280/1000] running P@1=0.1429 (40/280)
[290/1000] running P@1=0.1379 (40/290)
[300/1000] running P@1=0.1433 (43/300)
[310/1000] running P@1=0.1419 (44/310)
[320/1000] running P@1=0.1406 (45/320)
[330/1000] running P@1=0.1364 (45/330)
[340/1000] running P@1=0.1324 (45/340)
[350/1000] running P@1=0.1314 (46/350)
[360/1000] running P@1=0.1306 (47/360)
[370/1000] running P@1=0.1324 (49/370)
[380/1000] running P@1=0.1316 (50/380)
[390/1000] running P@1=0.1282 (50/390)
[400/1000] running P@1=0.1275 (51/400)
[410/1000] running P@1=0.1293 (53/410)
[420/1000] running P@1=0.1286 (54/420)
[430/1000] running P@1=0.1256 (54/430)
[440/1000] running P@1=0.1250 (55/440)
[450/1000] running P@1=0.1244 (56/450)
[460/1000] running P@1=0.1217 (56/460)
[470/1000] running P@1=0.1191 (56/470)
[480/1000] running P@1=0.1187 (57/480)
[490/1000] running P@1=0.1204 (59/490)
[500/1000] running P@1=0.1200 (60/500)
[510/1000] running P@1=0.1176 (60/510)
[520/1000] running P@1=0.1231 (64/520)
[530/1000] running P@1=0.1208 (64/530)
[540/1000] running P@1=0.1204 (65/540)
[550/1000] running P@1=0.1200 (66/550)
[560/1000] running P@1=0.1179 (66/560)
[570/1000] running P@1=0.1175 (67/570)
[580/1000] running P@1=0.1155 (67/580)
[590/1000] running P@1=0.1136 (67/590)
[600/1000] running P@1=0.1117 (67/600)
[610/1000] running P@1=0.1098 (67/610)
[620/1000] running P@1=0.1097 (68/620)
[630/1000] running P@1=0.1095 (69/630)
[640/1000] running P@1=0.1078 (69/640)
[650/1000] running P@1=0.1077 (70/650)
[660/1000] running P@1=0.1061 (70/660)
[670/1000] running P@1=0.1060 (71/670)
[680/1000] running P@1=0.1074 (73/680)
[690/1000] running P@1=0.1087 (75/690)
[700/1000] running P@1=0.1086 (76/700)
[710/1000] running P@1=0.1113 (79/710)
[720/1000] running P@1=0.1111 (80/720)
[730/1000] running P@1=0.1110 (81/730)
[740/1000] running P@1=0.1095 (81/740)
[750/1000] running P@1=0.1093 (82/750)
[760/1000] running P@1=0.1105 (84/760)
[770/1000] running P@1=0.1104 (85/770)
[780/1000] running P@1=0.1090 (85/780)
[790/1000] running P@1=0.1101 (87/790)
[800/1000] running P@1=0.1100 (88/800)
[810/1000] running P@1=0.1086 (88/810)
[820/1000] running P@1=0.1073 (88/820)
[830/1000] running P@1=0.1060 (88/830)
[840/1000] running P@1=0.1083 (91/840)
[850/1000] running P@1=0.1094 (93/850)
[860/1000] running P@1=0.1093 (94/860)
[870/1000] running P@1=0.1080 (94/870)
[880/1000] running P@1=0.1091 (96/880)
[890/1000] running P@1=0.1079 (96/890)
[900/1000] running P@1=0.1078 (97/900)
[910/1000] running P@1=0.1077 (98/910)
[920/1000] running P@1=0.1076 (99/920)
[930/1000] running P@1=0.1075 (100/930)
[940/1000] running P@1=0.1074 (101/940)
[950/1000] running P@1=0.1074 (102/950)
[960/1000] running P@1=0.1062 (102/960)
[970/1000] running P@1=0.1052 (102/970)
[980/1000] running P@1=0.1041 (102/980)
[990/1000] running P@1=0.1051 (104/990)
[1000/1000] running P@1=0.1050 (105/1000)

Final P@1 over 1000 queries, avg candidate pool size=894.0 (chance=0.0011): 0.1050 (105/1000)
